experiment,dataset,seed,model,method,pi_train,pi_test,c10,c01,tp,fp,tn,fn,tpr,fpr,tnr,fnr,precision,recall,f1,accuracy,risk,roc_auc,pr_auc,brier,logloss,threshold,neff,notes
exp5,synthetic,0,LogisticRegression,nocorr,0.2,0.2,1.0,1.0,3771,419,15581,229,0.94275,0.0261875,0.9738125,0.05725000000000002,0.9,0.94275,0.9208791208791208,0.9676,0.0324,0.9934502031249999,0.9789684160742594,0.02621885723577584,0.09915558662689553,0.0,,no_correction
exp5,synthetic,0,LogisticRegression,offset,0.2,0.2,1.0,1.0,3771,419,15581,229,0.94275,0.0261875,0.9738125,0.05725000000000002,0.9,0.94275,0.9208791208791208,0.9676,0.0324,0.9934502031249999,0.9789684160742594,0.026218857235775835,0.09915558662689553,0.0,,offset_correction
exp5,synthetic,0,LogisticRegression,retrain,0.2,0.2,1.0,1.0,3705,233,15767,295,0.92625,0.0145625,0.9854375,0.07374999999999998,0.9408329101066532,0.92625,0.9334845049130763,0.9736,0.0264,0.995056375,0.9840549098886765,0.019554021598096778,0.06800253508294211,0.0,,retrained_on_8000_samples
exp5,synthetic,0,XGBoost,nocorr,0.2,0.2,1.0,1.0,3758,437,15563,242,0.9395,0.0273125,0.9726875,0.0605,0.8958283671036948,0.9395,0.9171446003660769,0.96605,0.03395,0.9929071875,0.977011861602986,0.027034014463424683,0.10140973302859466,0.0,,no_correction
exp5,synthetic,0,XGBoost,offset,0.2,0.2,1.0,1.0,3758,437,15563,242,0.9395,0.0273125,0.9726875,0.0605,0.8958283671036948,0.9395,0.9171446003660769,0.96605,0.03395,0.9929071875,0.977011861602986,0.027034011848937417,0.10140973295903327,0.0,,offset_correction
exp5,synthetic,0,XGBoost,retrain,0.2,0.2,1.0,1.0,3673,264,15736,327,0.91825,0.0165,0.9835,0.08174999999999999,0.9329438658877318,0.91825,0.9255386166057704,0.97045,0.02955,0.993802453125,0.9802510979904646,0.02217761240899563,0.07847196331622909,0.0,,retrained_on_8000_samples
exp5,synthetic,1,LogisticRegression,nocorr,0.2,0.2,1.0,1.0,3727,378,15622,273,0.93175,0.023625,0.976375,0.06825000000000003,0.9079171741778319,0.93175,0.9196792103639728,0.96745,0.03255,0.993061859375,0.9776117750431151,0.02572898680557223,0.09727219222464378,0.0,,no_correction
exp5,synthetic,1,LogisticRegression,offset,0.2,0.2,1.0,1.0,3727,378,15622,273,0.93175,0.023625,0.976375,0.06825000000000003,0.9079171741778319,0.93175,0.9196792103639728,0.96745,0.03255,0.993061859375,0.9776117750431151,0.02572898680557226,0.09727219224596075,0.0,,offset_correction
exp5,synthetic,1,LogisticRegression,retrain,0.2,0.2,1.0,1.0,3691,190,15810,309,0.92275,0.011875,0.988125,0.07725000000000004,0.9510435454779695,0.92275,0.9366831620352747,0.97505,0.02495,0.9949978281249999,0.983853746983413,0.01896249347707619,0.06779231772650146,0.0,,retrained_on_8000_samples
exp5,synthetic,1,XGBoost,nocorr,0.2,0.2,1.0,1.0,3724,403,15597,276,0.931,0.0251875,0.9748125,0.06899999999999995,0.9023503755754786,0.931,0.9164513350559862,0.96605,0.03395,0.99253190625,0.9755347455486485,0.02652963250875473,0.0998342162735828,0.0,,no_correction
