experiment,dataset,seed,model,method,pi_train,pi_test,c10,c01,tp,fp,tn,fn,tpr,fpr,tnr,fnr,precision,recall,f1,accuracy,risk,roc_auc,pr_auc,brier,logloss,threshold,neff,notes
exp1,synthetic,0,XGBoost,oracle_threshold,0.2,0.5,1.0,10.0,9915,5638,4362,85,0.9915,0.5638,0.4362,0.008499999999999952,0.6374975888896033,0.9915,0.7760341251516456,0.71385,0.3244,0.939812935,0.9400939867855476,0.09757275881189736,0.31341630208858345,-2.7064919509833807,,tuned_on_400_samples
exp1,synthetic,0,LogisticRegression,nocorr,0.2,0.2,1.0,1.0,2763,708,15292,1237,0.69075,0.04425,0.95575,0.30925,0.7960242005185826,0.69075,0.7396600187391246,0.90275,0.09725,0.9411858437500001,0.8353499006446978,0.0708657795980188,0.2340542859725303,0.0,,fixed_threshold
exp1,synthetic,0,LogisticRegression,offset,0.2,0.2,1.0,1.0,2763,708,15292,1237,0.69075,0.04425,0.95575,0.30925,0.7960242005185826,0.69075,0.7396600187391246,0.90275,0.09725,0.9411858437500001,0.8353499006446978,0.0708657795980188,0.2340542859725303,0.0,,offset_corrected
exp1,synthetic,0,LogisticRegression,oracle_threshold,0.2,0.2,1.0,1.0,2266,328,15672,1734,0.5665,0.0205,0.9795,0.4335,0.8735543562066307,0.5665,0.6872914771003943,0.8969,0.1031,0.9411858437500001,0.8353499006446978,0.0708657795980188,0.2340542859725303,0.7480859770775821,,tuned_on_400_samples
exp1,synthetic,0,LogisticRegression,nocorr,0.2,0.2,10.0,1.0,1231,55,15945,2769,0.30775,0.0034375,0.9965625,0.69225,0.9572317262830482,0.30775,0.4657586076428301,0.8588,0.16595,0.9411858437500001,0.8353499006446978,0.0708657795980188,0.2340542859725303,2.302585092994046,,fixed_threshold
exp1,synthetic,0,LogisticRegression,offset,0.2,0.2,10.0,1.0,1231,55,15945,2769,0.30775,0.0034375,0.9965625,0.69225,0.9572317262830482,0.30775,0.4657586076428301,0.8588,0.16595,0.9411858437500001,0.8353499006446978,0.0708657795980188,0.2340542859725303,2.302585092994046,,offset_corrected
exp1,synthetic,0,LogisticRegression,oracle_threshold,0.2,0.2,10.0,1.0,1514,90,15910,2486,0.3785,0.005625,0.994375,0.6214999999999999,0.9438902743142145,0.3785,0.5403283369022127,0.8712,0.1693,0.9411858437500001,0.8353499006446978,0.0708657795980188,0.2340542859725303,1.8703415144830877,,tuned_on_400_samples
exp1,synthetic,0,LogisticRegression,nocorr,0.2,0.2,1.0,10.0,3761,4033,11967,239,0.94025,0.2520625,0.7479375,0.05974999999999997,0.4825506800102643,0.94025,0.6377819230117009,0.7864,0.32115,0.9411858437500001,0.8353499006446978,0.0708657795980188,0.2340542859725303,-2.3025850929940455,,fixed_threshold
exp1,synthetic,0,LogisticRegression,offset,0.2,0.2,1.0,10.0,3761,4033,11967,239,0.94025,0.2520625,0.7479375,0.05974999999999997,0.4825506800102643,0.94025,0.6377819230117009,0.7864,0.32115,0.9411858437500001,0.8353499006446978,0.0708657795980188,0.2340542859725303,-2.3025850929940455,,offset_corrected
exp1,synthetic,0,LogisticRegression,oracle_threshold,0.2,0.2,1.0,10.0,3783,4263,11737,217,0.94575,0.2664375,0.7335625,0.05425000000000002,0.47017151379567484,0.94575,0.6280923128009298,0.776,0.32165,0.9411858437500001,0.8353499006446978,0.0708657795980188,0.2340542859725303,-2.404044779960782,,tuned_on_400_samples
